"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Corto Maltés: La balada del mar salado (cuaderno I) (Colección Clarín y Ñ, #2)","Pratt, Hugo","Clarín","2010-01-30","Tapa blanda","136","Corto Maltés: Colección Clarín y Ñ","2","spa","9789870707738","","https://www.goodreads.com/book/show/7619661-corto-malt-s","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1281076602l/7619661._SX98_.jpg","Segundo tomo de la colección Corto Maltés de Ñ. Contiene la primera parte de La balada del mar salado.","","","Comics","3.94","08/16/2026","","","","","","","","Estante D",""
"Corto Maltés: Vinos de Borgoña y rosas de Picardía / Un águila en la jungla (Colección Clarín y Ñ, #5)","Pratt, Hugo","Clarín","2010-02-20","Tapa blanda","80","Corto Maltés: Colección Clarín y Ñ","5","spa","9789870707769","","https://www.goodreads.com/book/show/7619845-corto-malt-s","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1282673845l/7619845._SX98_.jpg","","","","Comics","3.76","08/16/2026","","","","","","","","Estante D",""
"Cosas que te pasan si estás vivo, nueva edición",", Liniers; Común, La Editorial","Zagier & Urruty Pubns","","Tapa blanda","224","","","","9789873795213","","https://www.goodreads.com/book/show/41741205-cosas-que-te-pasan-si-est-s-vivo-nueva-edici-n","","","https://covers.openlibrary.org/b/id/12333280-L.jpg","Cosas que te pasan si estas vivo es una recopilación de de historietas exclusivas mediante las cuales Liniers cuenta hechos de su vida cotidiana. Dichas historietas fueron publicadas semanalmente en ""ADN Cultura"" del diario La Nación.","","","Comics","4.05","08/16/2026","","","","","","","","Estante D",""
"Creciendo con Ceferino","Rubiana Del Carmen, Cassol","","","Tapa blanda","","","","","","","","","","","","","","","","08/16/2026","","","","","","","","Estante A",""
"Cuentos en blanco y negro","Mónica, Gomez","","","Tapa blanda","","","","","9789873984259","","","","","","","","","","","08/16/2026","","","","","","","","Estante D",""
"Destino desconocido","Christie, Agatha","Molino","1995-11-01","Tapa blanda","255","","","spa","","","https://www.goodreads.com/book/show/7981311-destino-desconocido","","","https://covers.openlibrary.org/b/id/10301793-L.jpg","En los años cincuenta de nuestro siglo, nos encontramos de lleno en lo que se dio en llamar ""La Guerra Fría"". Un eminente científico británico, Thomas Betteton, desaparece misteriosamente después de un congreso celebrado en París. Al parecer, no se trata de un caso aislado, sino de la continuación de una serie de episodios parecidos que han sucedido reiteradamente en los últimos tiempos. Siempre se trata de hombres de ciencia que desaparecen sin ningún tipo de violencia y van a parar voluntariamente al otro lado del Telón de Acero.","","","English Detective and mystery stories, Agatha-christie","3.70","08/16/2026","","","","","","","","Estante C",""
"Divina Comedia","Alighieri, Dante","Plutón Ediciones ","","Tapa blanda","283","La Divina Commedia","","spa","9788415089551","","https://www.goodreads.com/book/show/24357160-divina-comedia","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420663285l/24357160._SX98_.jpg","La Divina Comedia obra del florentino Dante Alighieri (1265-1321), es uno de los más grandes poemas de la humanidad y de todos los tiempos. Se trata de la aventura intelectual y espiritual del autor a través de un viaje imaginario a los tres reinos de ultratumba, acompañado y guiado primero por Virgilio y,finalmente, por el gran amor de su vida, Beatriz. En él se compendia el destino temporal y eterno del ser humano, incorporando todo el acervo cultural de la tradición grecorromana y del pensamiento cristiano, para plantear el problema moral y teológico de nuestra trascendencia.","","","Classics","4.09","08/16/2026","","","","","","","","Estante C",""
"Dodici","Zerocalcare","Bao Publishing","2013-10-17","Tapa blanda","96","","","ita","9788865431801","","https://www.goodreads.com/book/show/18468852-dodici","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687885599l/18468852._SX98_.jpg","Zerocalcare (il personaggio) è in coma, gli zombie stanno per decimare quel che resta della popolazione di Rebibbia e tocca a Secco, Katja e all'amico Cinghiale trovare un mezzo per scappare da una situazione ormai compromessa. Prendendosi una pausa dal suo abituale sguardo sul mondo (e da se stesso come protagonista, Zerocalcare (l'autore) lascia andare a briglia sciolta le sue innumerevoli paranoie apocalittiche e racconta una storia avventurosa di rivalsa, rancore e speranza per il futuro, che fa il giro largo per spiegare l'incrollabile amore per un quartiere che tutto il mondo crede essere solamente un carcere.","","","Fumetti","3.44","08/16/2026","","","","","","","","Estante D",""
"Don Quijote de la Mancha (grandes autores de la literatura, #1)","Saavedra, Miguel de Cervantes","Gredos","","Tapa blanda","965","Don Quijote de la Mancha","1","spa","9788447382811","","https://www.goodreads.com/book/show/26301447-don-quijote-de-la-mancha","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441903410l/26301447._SX98_.jpg","""En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor. Una olla de algo más vaca que carnero, salpicón las más noches, duelos y quebrantos los sábados, lentejas los viernes, algún palomino de añadidura los domingos, consumían las tres partes de su hacienda. El resto della concluían sayo de velarte, calzas de velludo para las fiestas con sus pantuflos de lo mismo, los días de entre semana se honraba con su vellori de lo más fino. Tenía en su casa una ama que pasaba de los cuarenta, y una sobrina que no llegaba a los veinte, y un mozo de campo y plaza, que así ensillaba el rocín como tomaba la podadera. Frisaba la edad de nuestro hidalgo con los cincuenta años, era de complexión recia, seco de carnes, enjuto de rostro; gran madrugador y amigo de la caza. Quieren decir que tenía el sobrenombre de Quijada o Quesada (que en esto hay alguna diferencia en los autores que deste caso escriben), aunque por conjeturas verosímiles se deja entender que se llama Quijana; pero esto importa poco a nuestro cuento; basta que en la narración dél no se salga un punto de la verdad.""","","","Classics","3.91","08/16/2026","","","","","","","","Estante B",""
"El Capricho De Los Dioses","Sheldon, Sidney","Emecé Editores","2001","Tapa blanda","330","","","","9789500406789","","https://www.goodreads.com/book/show/300246.El_Capricho_de_los_Dioses","","","https://covers.openlibrary.org/b/id/13267110-L.jpg","This classic best-selling thriller races from the White House to the romance of Paris and the shady menace of Cold War Bucharest as a young woman ambessador faces unseen and powerful enemies plotting her and her children's destruction.","","","Fiction","3.88","08/16/2026","","","","","","","","Estante C",""
